"GWNoA","Year","youth_bulge"
700,1950,0.32286781218533
700,1951,0.323286738225146
700,1952,0.323843515768784
700,1953,0.324536814622296
700,1954,0.325420665651694
700,1955,0.326620842897161
700,1956,0.327052434433239
700,1957,0.327755756018695
700,1958,0.328687009725302
700,1959,0.329839290039806
700,1960,0.331271312495281
700,1961,0.332094054532311
700,1962,0.333216914527463
700,1963,0.334426378389384
700,1964,0.335477519908828
700,1965,0.336322392507127
700,1966,0.336284445431909
700,1967,0.336149068407845
700,1968,0.335970026726124
700,1969,0.335873613659202
700,1970,0.33602561545434
700,1971,0.335786970774493
700,1972,0.335768970969891
700,1973,0.336071447627348
700,1974,0.336867449210333
700,1975,0.338295142831145
700,1976,0.340113718484222
700,1977,0.342427616612749
700,1978,0.344990345090118
700,1979,0.347524158116955
700,1980,0.34995088964175
700,1981,0.351321609433056
700,1982,0.352710158972712
700,1983,0.354231601060038
700,1984,0.356069088501172
700,1985,0.358486148479036
700,1986,0.359155717090521
700,1987,0.360212906526782
700,1988,0.361666307113957
700,1989,0.363524211943652
700,1990,0.365839034652256
700,1991,0.366880835673648
700,1992,0.367711220359861
700,1993,0.368281651197458
700,1994,0.368556731636091
700,1995,0.368554784430366
700,1996,0.368903121896779
700,1997,0.369325590423804
700,1998,0.369834339456073
700,1999,0.370431589549999
700,2000,0.37116739959796
700,2001,0.374410377631487
700,2002,0.376996917336443
700,2003,0.378701238035523
700,2004,0.379325781419557
700,2005,0.378762637778071
700,2006,0.374704470867275
700,2007,0.370642281900507
700,2008,0.367134764758974
700,2009,0.36485155478583
700,2010,0.364216010631162
700,2011,0.366916130104532
700,2012,0.369986964719848
700,2013,0.373030492004066
700,2014,0.375602808673303
700,2015,0.37740472327099
700,2016,0.377599402057796
700,2017,0.377515552246453
700,2018,0.377082039543149
700,2019,0.376205175130611
700,2020,0.37485537803902
700,2021,0.372846199826299
700,2022,0.370318948608184
700,2023,0.367218612399332
700,2024,0.363441828046837
700,2025,0.358987161360768
700,2026,0.353805142992149
